,0
1126,folclore portugues
1127,spirituals
1128,kleinkunst
1129,musica baiana
1130,bangla
1131,singaporean indie
1132,kritika
1133,bal-musette
1134,accordeon
1135,chant religieux
1136,bajki
1137,east anglia indie
1138,heavy psych
1139,solipsynthm
1140,duluth indie
1141,ontario indie
1142,halifax indie
1143,manitoba indie
1144,rhode island indie
1145,hamilton on indie
1146,musique acadienne
1147,newfoundland indie
1148,wyoming indie
1149,ottawa indie
1150,canadian indigenous
1151,new england americana
1152,minneapolis indie
1153,worcester ma indie
1154,nashville americana
1155,bornesange
1156,mgp
1157,bornehistorier
1158,karneval
1159,oth indie
1160,dansk lovsang
1161,eastern bloc groove
1162,trekkspill
1163,pony
1164,mundart
1165,zen
1166,psytech
1167,gregorian chant
1168,barnalog
1169,barnasogur
1170,russian dnb
1171,instrumental surf
1172,mumbai indie
1173,black sludge
1174,icelandic traditional
1175,faroese indie
1176,children's story
1177,moog
1178,chattanooga indie
1179,music box
1180,dutch americana
1181,nepali indie
1182,old school nederhop
1183,phleng phuea chiwit
1184,molam
1185,ulkucu sarkilar
1186,musicas espiritas
1187,tamborazo
1188,musica catarinense
1189,48g
1190,lexington ky indie
1191,enka
1192,rva indie
1193,leeds indie
1194,rogaland musikk
1195,rogaland indie
1196,svensk lovsang
1197,norwegian psychedelic
1198,kalmar indie
1199,oslo indie
1200,reading
1201,new mexico music
1202,remix product
1203,norges stemme
1204,hjemmesnekk
1205,musica catalana
1206,musica mallorquina
1207,trikiti
1208,italian mezzo-soprano
1209,sevillanas
1210,musica valenciana
1211,cornetas y tambores
1212,música pitiusa
1213,library music
1214,orquestas de galicia
1215,spanish prog
1216,mestissatge
1217,galego
1218,bulgarian indie
1219,gothabilly
1220,bahai
1221,skramz
1222,tulum
1223,duduk
1224,victorian britain
1225,harp
1226,ilahiler
1227,musica sarda
1228,persian traditional
1229,cocuk masallari
1230,sholawat
1231,turkce remix
1232,darbuka
1233,language
1234,pianissimo
1235,dombra
1236,muziek voor kinderen
1237,vlaamse kinderliedje
1238,streektaal
1239,dutch musical
1240,musique pour enfants
1241,modular synth
1242,baithak gana
1243,polyphonies corses
1244,polyphony
1245,comptine
1246,stomp and whittle
1247,coupe-decale
1248,gaian doom
1249,via
1250,tanzanian traditional
1251,taarab
1252,singing bowl
1253,detskie pesni
1254,stateside dnb
1255,german dnb
1256,kyushu indie
1257,go-go
1258,deathstep
1259,kazakh indie
1260,lezginka
1261,canzone genovese
1262,musica calabrese
1263,italian bass
1264,limerick indie
1265,puglia indie
1266,indie napoletano
1267,sega mauricien
1268,indie liguria
1269,canti alpini
1270,keroncong
1271,indian percussion
1272,final fantasy
1273,lagu sunda
1274,zikir
1275,trinibad
1276,oc indie
1277,taiwanese indigenous
1278,vgm instrumental
1279,historical keyboard
1280,lo star
1281,serialism
1282,acousmatic
1283,japanese idm
1284,tibetan traditional
1285,viola
1286,lds
1287,guitarra clasica
1288,taiwan graduation song
1289,galante era
1290,guidance
1291,fort worth indie
1292,c64
1293,shamisen
1294,halftime dnb
1295,japanese piano
1296,ai
1297,muzica copii
1298,muzica crestina
1299,hindustani instrumental
1300,south dakota indie
1301,tempe indie
1302,poetry
1303,marimba mexicana
1304,mexican son
1305,ballroom
1306,bass trip
1307,baja indie
1308,mexican traditional
1309,lldm
1310,musica istmena
1311,candomble
1312,bandinhas
1313,louvor
1314,musica gaucha
1315,bloco
1316,hinos ccb
1317,bandolim
1318,musica sinfonica
1319,talentos brasileiros
1320,musica crista reformada
1321,musica sul-mato-grossense
1322,musica capixaba
1323,isle of wight indie
1324,uilleann pipes
1325,novelty
1326,irish rebel song
1327,irish dance
1328,irish neo-traditional
1329,coventry indie
1330,cork indie
1331,bible
1332,steel guitar
1333,glasgow indie
1334,birmingham indie
1335,musik anak-anak
1336,gamelan
1337,sundanese traditional
1338,batak
1339,sandalwood
1340,chant basque
1341,musica occitana
1342,indonesian psychedelia
1343,lagu jawa
1344,italian soprano
1345,semarang indie
1346,indonesian neo-psychedelia
1347,lagu bali
1348,bogor indie
1349,khmer
1350,lagu timur
1351,lagu aceh
1352,uwielbienie
1353,kaseko
1354,musikkorps
1355,zillertal
1356,junior songfestival
1357,christmas product
1358,lustrum
1359,asakaa
1360,kabyle
1361,musica antigua
1362,spytrack
1363,gumbe
1364,puerto rican indie
1365,pasodobles
1366,raggatek
1367,anthem
1368,musique mariage algerien
1369,shabad
1370,gujarati garba
1371,mod revival
1372,essex indie
1373,aggro chileno
1374,musica mapuche
1375,death 'n' roll
1376,chinderlieder
1377,hoerspiel
1378,hamburg indie
1379,hamburger schule
1380,detske pisnicky
1381,guggenmusik
1382,bagpipe
1383,kinderchor
1384,dusseldorf indie
1385,leipzig indie
1386,zurich indie
1387,austrian indie
1388,indie tico
1389,bush ballad
1390,sydney indie
1391,blasmusik
1392,psychokore
1393,german literature
1394,lesen
1395,fussball
1396,maghreb
1397,volkstumliche musik
1398,klapa
1399,brass ensemble
1400,salzburg indie
1401,graz indie
1402,acidcore
1403,magyar kabare
1404,gyerekdalok
1405,gypsy
1406,northamptonshire indie
1407,hungarian indie
1408,mahraganat
1409,tamil devotional
1410,marathi devotional
1411,marathi traditional
1412,rabindra sangeet
1413,kolkata indie
1414,telugu devotional
1415,bansuri
1416,kannada bhava geethe
1417,lund indie
1418,sarod
1419,pakistani indie
1420,baps
1421,taraneem
1422,koligeet
1423,tamil indie
1424,telugu indie
1425,doujin
1426,quatuor a cordes
1427,musique concrete
1428,musique ancienne
1429,cimbalom
1430,khaleeji iraqi
1431,jalsat
1432,birdsong
1433,sheilat
1434,bernu dziesmas
1435,estonian indie
1436,minimal dnb
1437,vocal ensemble
1438,neurostep
1439,kodomo no ongaku
1440,precure
1441,macross
1442,ukulele
1443,ryukoka
1444,neru
1445,utapri
1446,yuri
1447,pretty rhythm
1448,mandible
1449,ensemble stars
1450,shojo
1451,gochiusa
1452,hypnosis mic
1453,luxembourgian indie
1454,zespol dzieciecy
1455,szanty
1456,goralski
1457,cincinnati indie
1458,gamecore
1459,poznan indie
1460,bisaya indie
1461,korean superband
1462,komedi
1463,svensk indie
1464,barnsagor
1465,gotlandsk musik
1466,chinese new year
1467,pet calming
